0,1,2,3
0.0,2.547,2.335,1.105
0.738,2.548,2.347,1.109
2.25,2.529,2.383,1.091
4.41,2.528,2.431,1.092
5.976,2.492,2.544,1.104
8.154,2.462,2.597,1.118
9.882,2.421,2.678,1.133
12.78,2.367,2.779,1.19
14.274,2.319,2.849,1.226
16.38,2.279,2.909,1.283
18.072,2.237,2.958,1.342
20.214,2.191,3.008,1.413
22.284,2.177,3.018,1.43
24.678,2.135,3.046,1.494
26.802,2.113,3.043,1.566
28.458,2.093,3.034,1.615
29.556,2.086,3.013,1.665
32.13,2.084,2.964,1.709
34.434,2.092,2.911,1.719
36.324,2.095,2.876,1.733
38.736,2.112,2.802,1.753
40.356,2.13,2.756,1.767
42.804,2.152,2.708,1.756
44.406,2.168,2.648,1.755
46.314,2.192,2.594,1.745
48.438,2.241,2.481,1.697
49.5,2.281,2.426,1.678
52.128,2.302,2.38,1.647
54.162,2.342,2.308,1.588
56.52,2.385,2.247,1.54
57.708,2.405,2.228,1.526
60.3,2.448,2.178,1.447
62.298,2.471,2.165,1.411
64.116,2.51,2.153,1.347
66.852,2.537,2.152,1.296
68.526,2.557,2.172,1.234
70.812,2.569,2.198,1.175
72.108,2.569,2.232,1.142
74.718,2.561,2.279,1.11
76.5,2.554,2.331,1.111
79.272,2.526,2.387,1.096
80.388,2.511,2.448,1.086
82.764,2.492,2.519,1.095
84.024,2.454,2.612,1.11
87.3,2.428,2.67,1.129
88.452,2.401,2.724,1.159
91.026,2.369,2.766,1.179
91.98,2.314,2.858,1.233
94.626,2.25,2.94,1.307
96.066,2.218,2.97,1.364
98.91,2.186,3.012,1.41
100.638,2.149,3.039,1.484
102.276,2.129,3.05,1.533
104.328,2.108,3.04,1.593
106.362,2.085,3.015,1.653
108.414,2.089,2.983,1.695
110.952,2.088,2.934,1.721
112.194,2.089,2.904,1.736
114.174,2.096,2.848,1.76
116.37,2.115,2.793,1.755
118.782,2.148,2.7,1.756
119.898,2.178,2.627,1.747
122.94,2.217,2.541,1.723
124.182,2.264,2.464,1.697
126.72,2.285,2.407,1.664
127.512,2.33,2.344,1.621
131.184,2.369,2.279,1.561
131.436,2.412,2.236,1.523
134.82,2.432,2.197,1.472
136.044,2.453,2.185,1.456
138.276,2.481,2.159,1.397
140.724,2.498,2.155,1.365
142.218,2.524,2.147,1.315
143.514,2.542,2.153,1.259
146.286,2.557,2.184,1.204
148.428,2.566,2.201,1.184
150.822,2.568,2.243,1.14
152.46,2.556,2.279,1.118
154.386,2.55,2.339,1.102
156.654,2.528,2.397,1.108
158.256,2.519,2.45,1.088
160.38,2.481,2.543,1.102
162.324,2.457,2.598,1.114
164.862,2.411,2.676,1.144
166.158,2.385,2.726,1.165
168.84,2.353,2.796,1.189
170.064,2.331,2.821,1.209
171.99,2.293,2.895,1.262
173.79,2.249,2.951,1.329
175.986,2.189,3.003,1.42
178.56,2.149,3.029,1.486
180.324,2.129,3.039,1.536
182.682,2.106,3.031,1.597
184.608,2.092,3.025,1.632
186.876,2.08,2.99,1.678
188.082,2.089,2.956,1.708
190.206,2.088,2.89,1.743
192.456,2.107,2.813,1.761
194.382,2.108,2.777,1.762
195.948,2.132,2.74,1.767
198.576,2.165,2.655,1.753
200.25,2.19,2.604,1.741
203.184,2.222,2.528,1.721
204.318,2.253,2.468,1.696
206.802,2.294,2.41,1.666
208.332,2.326,2.32,1.615
211.176,2.374,2.272,1.573
212.328,2.378,2.261,1.553
213.732,2.396,2.237,1.527
216.486,2.434,2.185,1.462
218.97,2.46,2.176,1.435
220.32,2.473,2.167,1.413
222.426,2.514,2.148,1.35
223.884,2.537,2.154,1.284
226.368,2.553,2.155,1.241
228.852,2.559,2.193,1.19
230.49,2.567,2.213,1.168
232.704,2.56,2.248,1.126
234.468,2.551,2.294,1.112
236.952,2.549,2.314,1.117
238.176,2.543,2.344,1.102
240.66,2.517,2.42,1.093
241.92,2.508,2.444,1.086
244.08,2.482,2.523,1.099
246.474,2.433,2.627,1.113
248.67,2.418,2.684,1.13
250.92,2.365,2.764,1.171
252.468,2.319,2.852,1.233
254.862,2.266,2.914,1.291
256.014,2.243,2.956,1.319
258.75,2.21,2.986,1.374
260.064,2.198,3.002,1.404
262.332,2.172,3.02,1.422
264.816,2.138,3.042,1.488
266.256,2.114,3.04,1.552
268.542,2.101,3.03,1.601
270.45,2.082,3.005,1.665
272.664,2.079,2.99,1.679
274.14,2.094,2.941,1.727
276.876,2.086,2.884,1.74
278.19,2.088,2.857,1.75
280.458,2.125,2.775,1.766
281.988,2.137,2.738,1.765
284.382,2.169,2.648,1.758
286.434,2.203,2.571,1.732
288.612,2.226,2.525,1.716
290.178,2.257,2.47,1.69
292.104,2.3,2.377,1.644
293.688,2.354,2.305,1.594
296.55,2.407,2.24,1.545
298.782,2.445,2.196,1.467
300.024,2.449,2.181,1.453
302.004,2.494,2.156,1.375
304.038,2.526,2.143,1.318
306.342,2.544,2.164,1.257
308.574,2.553,2.18,1.2
310.374,2.564,2.21,1.172
311.958,2.571,2.225,1.15
314.892,2.563,2.266,1.127
316.566,2.545,2.321,1.119
319.104,2.533,2.393,1.095
320.382,2.52,2.448,1.097
322.578,2.489,2.535,1.089
323.928,2.445,2.634,1.119
326.898,2.41,2.693,1.141
328.158,2.398,2.724,1.158
330.912,2.36,2.787,1.191
332.244,2.346,2.813,1.216
334.44,2.312,2.858,1.237
337.14,2.284,2.914,1.279
338.238,2.241,2.956,1.339
340.938,2.208,2.986,1.369
341.568,2.184,3.008,1.406
343.8,2.179,3.026,1.433
346.878,2.137,3.036,1.512
348.03,2.131,3.042,1.543
350.01,2.111,3.041,1.589
352.368,2.088,3.016,1.646
355.158,2.079,2.992,1.667
356.22,2.083,2.965,1.704
