data1,data2
0.0,0.16
4.0,2.61
8.0,6.48
12.0,10.82
16.0,15.48
20.0,18.68
24.0,23.22
28.0,26.66
32.0,30.47
36.0,35.33
40.0,38.57
44.0,42.5
48.0,46.84
52.0,51.5
56.0,54.68
60.0,59.22
64.0,62.69
68.0,66.49
72.0,71.33
76.0,74.65
80.0,78.48
84.0,82.85
88.0,87.5
92.0,90.68
96.0,95.24
100.0,98.69
104.0,102.49
108.0,107.32
112.0,110.61
116.0,114.48
120.0,118.82
124.0,123.48
128.0,126.68
132.0,131.24
136.0,134.69
140.0,138.51
144.0,143.35
148.0,146.65
152.0,150.48
156.0,154.84
160.0,159.48
164.0,162.68
168.0,167.22
172.0,170.69
176.0,174.49
180.0,179.33
184.0,182.59
188.0,186.46
192.0,190.82
196.0,195.46
200.0,198.68
204.0,203.2
208.0,206.69
212.0,210.49
216.0,215.33
220.0,218.61
224.0,222.48
228.0,226.8
232.0,231.46
236.0,234.68
240.0,239.18
244.0,242.68
248.0,246.51
252.0,251.33
256.0,254.57
260.0,258.48
264.0,262.82
268.0,267.48
272.0,270.67
276.0,275.18
280.0,278.68
284.0,282.49
288.0,287.33
292.0,290.66
296.0,294.48
300.0,298.84
304.0,303.5
308.0,306.68
312.0,311.2
316.0,314.69
320.0,318.51
324.0,323.33
328.0,326.63
332.0,330.48
336.0,334.84
340.0,339.5
344.0,342.67
348.0,347.24
352.0,350.69
356.0,354.51
360.0,359.33
4.0,4.9
